svenskt namn,bengelskt namn
fågel,bird
aftonfalk,falco vespertinus
alfågel,clangula hyemalis
alförrädare,polysticta stelleri
alkekung,alle alle
alpjärnsparv,prunella collaris
alpseglare,tachymarptis melba
amerikansk bläsand,mareca americana
amerikansk knölsvärta,melanitta deglandi
amerikansk kopparand,oxyura jamaicensis
amerikansk kricka,anas carolinensis
amerikansk piplärka,anthus rubescens
amerikansk rördrom,botaurus lentiginosus
amerikansk sjöorre,melanitta americana
amerikansk skogssnäppa,tringa solitaria
amerikansk tundrapipare,pluvialis dominica
amurbuskskvätta,saxicola stejnegeri
amurfalk,falco amurensis
asiatisk kalanderlärka,melanocorypha bimaculata
atlantpetrell/madeirapetrell,pterodroma feae/pterodroma madeira
azurmes,cyanistes cyanus
backsvala,riparia riparia
balkansångare,phylloscopus orientalis
beigekindad skogstrast,catharus ustulatus
bergand,aythya marila
bergfink,fringilla montifringilla
berglärka,eremophila alpestris
bergortolan,emberiza buchanani
bergtajgasångare,phylloscopus humei
bergsångare,phylloscopus bonelli
berguv,bubo bubo
bivråk,pernis apivorus
biätare,merops apiaster
björktrast,turdus pilaris
blek tornseglare,apus pallidus
blå kärrhök,circus cyaneus
blåhake,luscinia svecica
blåkråka,coracias garrulus
blåmes,cyanistes caeruleus
blåtrast,monticola solitarius
blåvingad årta,spatula discors
bläsand,mareca penelope
bläsgås,anser albifrons
bofink,fringilla coelebs
brandkronad kungsfågel,regulus ignicapillus
brednäbbad simsnäppa,phalaropus fulicarius
bredstjärtad labb,stercorarius pomarinus
brokig kardinal,pheucticus ludovicianus
bronsibis,plegadis falcinellus
brun glada,milvus migrans
brun kärrhök,circus aeruginosus
brun törnskata,lanius cristatus
brunsula,sula leucogaster
brunand,aythya ferina
brunsångare,phylloscopus fuscatus
bruntrast,turdus naumanni
brushane,calidris pugnax
buskskvätta,saxicola rubetra
busksångare,acrocephalus dumetorum
bändelkorsnäbb,loxia leucoptera
cettisångare,cettia cetti
citronärla,motacilla citreola
dalripa,lagopus lagopus
dammsnäppa,tringa stagnatilis
domherre,pyrrhula pyrrhula
drillsnäppa,actitis hypoleucos
dubbelbeckasin,gallinago media
dubbeltrast,turdus viscivorus
duvhök,accipiter gentilis
dvärgbeckasin,lymnocryptes minimus
dvärgmås,hydrocoloeus minutus
dvärgrördrom,ixobrychus minutus
dvärgskarv,microcarbo pygmaeus
dvärgsnäppa,calidris minutilla
dvärgsparv,emberiza pusilla
dvärgspov,numenius minutus
dvärgsumphöna,zapornia pusilla
dvärgsångare,phylloscopus neglectus
dvärgsävsparv,emberiza pallasi
dvärguv,otus scops
dvärgörn,hieraaetus pennatus
ejder,somateria mollissima
eksångare,iduna pallida
eleonorafalk,falco eleonorae
enkelbeckasin,gallinago gallinago
entita,poecile palustris
eremitskogstrast,catharus guttatus
fasan,phasianus colchicus
fiskgjuse,pandion haliaetus
fiskmås,larus canus
fisktärna,sterna hirundo
fjällabb,stercorarius longicaudus
fjällgås,anser erythropus
fjällpipare,eudromias morinellus
fjällripa,lagopus muta
fjälluggla,bubo scandiacus
fjällvråk,buteo lagopus
flodsångare,locustella fluviatilis
fläckdrillsnäppa,actitis macularia
forsärla,motacilla cinerea
fältpiplärka,anthus campestris
fältsångare,acrocephalus agricola
garfågel,pinguinus impennis
glasögonflugsnappare,muscicapa dauurica
gluttsnäppa,tringa nebularia
gransångare,phylloscopus collybita
gravand,tadorna tadorna
grå flugsnappare,muscicapa striata
grågam,aegypius monachus
grågås,anser anser
gråhakedopping,podiceps grisegena
gråhalsad trast,turdus obscurus
gråhuvad sparv,emberiza spodocephala
gråhuvad vipa,vanellus cinereus
gråhäger,ardea cinerea
gråkråka,corvus cornix
grålira,ardenna grisea
gråsiska,acanthis flammea
gråsparv,passer domesticus
gråspett,picus canus
gråtrut,larus argentatus
gräsand,anas platyrhynchos
gräshoppsångare,locustella naevia
grässångare,cisticola juncidis
grön biätare,merops persicus
grönbena,tringa glareola
grönfink,chloris chloris
gröngöling,picus viridis
grönsiska,spinus spinus
grönsångare,phylloscopus sibilatrix
gulbrynad sparv,emberiza chrysophrys
gulbröstad snäppa,calidris bairdii
guldtrast,zoothera dauma
gulgrå sparv,emberiza cineracea
gulhämpling,serinus serinus
gulkindad kricka,sibirionetta formosa
gulnäbbad lira,calonectris borealis
gulsparv,emberiza citrinella
gulärla,motacilla flava
gyllensparv,emberiza aureola
gåsgam,gyps fulvus
gärdsmyg,troglodytes troglodytes
gök,cuculus canorus
göktyta,jynx torquilla
halsbandsflugsnappare,ficedula albicollis
havssula,morus bassanus
havstrut,larus marinus
havsörn,haliaeetus albicilla
hornuggla,asio otus
hudsonspov,limosa haemastica
hussvala,delichon urbicum
hämpling,linaria cannabina
härfågel,upupa epops
härmsångare,hippolais icterina
höksångare,curruca nisoria
hökuggla,surnia ulula
iberisk gransångare,phylloscopus ibericus
isabellastenskvätta,oenanthe isabellina
isabellatörnskata,lanius isabellinus
ismås,pagophila eburnea
jaktfalk,falco rusticolus
jorduggla,asio flammeus
jungfrutrana,grus virgo
järnsparv,prunella modularis
järpe,tetrastes bonasia
kaja,corvus monedula
kalanderlärka,melanocorypha calandra
kamtjatkapipare,anarhynchus mongolus
kanadagås,branta canadensis
karolinasumphöna,porzana carolina
kaspisk pipare,anarhynchus asiaticus
kaspisk trut,larus cachinnans
kattuggla,strix aluco
kaukasisk lundsångare,phylloscopus nitidus
kaveldunsångare,acrocephalus melanopogon
kejsarörn,aquila heliaca
kentsk tärna,thalasseus sandvicensis
klippduva,columba livia
klippkaja,corvus dauuricus
klippsparv,emberiza cia
klippsvala,ptyonoprogne rupestris
klykstjärtad stormsvala,hydrobates leucorhous
knipa,bucephala clangula
knölsvan,cygnus olor
kohäger,bubulcus ibis
koltrast,turdus merula
kolymasnäppa,calidris tenuirostris
kornknarr,crex crex
kornsparv,emberiza calandra
korp,corvus corax
korttålärka,calandrella brachydactyla
kragtrapp,chlamydotis macqueenii
kricka,anas crecca
kungsfiskare,alcedo atthis
kungsfågel,regulus regulus
kungsfågelsångare,phylloscopus proregulus
kungsörn,aquila chrysaetos
kustlabb,stercorarius parasiticus
kustpipare,pluvialis squatarola
kustsnäppa,calidris canutus
kärrsnäppa,calidris alpina
kärrsångare,acrocephalus palustris
kärrtärna,sterna forsteri
ladusvala,hirundo rustica
lappmes,poecile cinctus
lappsparv,calcarius lapponicus
lappuggla,strix nebulosa
lavskrika,perisoreus infaustus
ljungpipare,pluvialis apricaria
lundsångare,phylloscopus trochiloides
lunnefågel,fratercula arctica
långnäbbad mås,chroicocephalus genei
långtåsnäppa,calidris subminuta
lärkfalk,falco subbuteo
lövsångare,phylloscopus trochilus
macchiasångare,iduna opaca
mandarinand,aix sponsa
masktörnskata,lanius nubicus
medelhavslira,puffinus yelkouan
medelhavstrut,larus michahellis
mellanspett,dendrocoptes medius
mindre albatross,thalassarche chlororhynchos
mindre beckasinsnäppa,limnodromus griseus
mindre bergand,aythya affinis
mindre flugsnappare,ficedula parva
mindre gulbena,tringa flavipes
mindre hackspett,dryobates minor
mindre korsnäbb,loxia curvirostra
mindre lira,puffinus puffinus
mindre skrikörn,clanga pomarina
mindre strandpipare,charadrius dubius
mindre sumphöna,zapornia parva
mindre sångsvan,cygnus columbianus
minervauggla,athene noctua
moltonisångare,curruca subalpina
mongolfink,bucanetes mongolicus
mongolpiplärka,anthus godlewskii
morkulla,scolopax rusticola
mosnäppa,calidris temminckii
myrsnäppa,calidris falcinellus
myrspov,limosa lapponica
natthäger,nycticorax nycticorax
nattskärra,caprimulgus europaeus
nilgås,alopochen aegyptiaca
nordsångare,phylloscopus borealis
nunnestenskvätta,oenanthe pleschanka
näktergal,luscinia luscinia
nötkråka,nucifraga caryocatactes
nötskrika,garrulus glandarius
nötväcka,sitta europaea
orientpipare,anarhynchus veredus
orientseglare,apus pacificus
orientvadarsvala,glareola maldivarum
ormvråk,buteo buteo
ormörn,circaetus gallicus
orre,lyrurus tetrix
ortolansparv,emberiza hortulana
papegojalka,aethia psittacula
pilfink,passer montanus
pilgrimsfalk,falco peregrinus
piparsnäppa,bartramia longicauda
polyglottsångare,hippolais polyglotta
praktejder,somateria spectabilis
provencesångare,curruca undata
prutgås,branta bernicla
prärielöpare,calidris subruficollis
präriemås,leucophaeus pipixcan
prärietrana,grus canadensis
pungmes,remiz pendulinus
purpurhäger,ardea purpurea
pärluggla,aegolius funereus
rallhäger,ardeola ralloides
rapphöna,perdix perdix
ringand,aythya collaris
ringduva,columba palumbus
ringnäbbad mås,larus delawarensis
ringtrast,turdus torquatus
rosenfink,carpodacus erythrinus
rosenmås,rhodostethia rosea
rosenstare,pastor roseus
rosentärna,sterna dougallii
roskarl,arenaria interpres
rostand,tadorna ferruginea
rostgumpad törnskata,lanius schach
rostgumpsvala,cecropis daurica
rostskogstrast,catharus fuscescens
rostsparv,emberiza caesia
rostsångare,curruca iberiae
rubinnäktergal,calliope calliope
råka,corvus frugilegus
röd glada,milvus milvus
rödbena,tringa totanus
rödfalk,falco naumanni
rödhake,erithacus rubecula
rödhalsad gås,branta ruficollis
rödhalsad snäppa,calidris ruficollis
rödhuvad dykand,netta rufina
rödhuvad törnskata,lanius senator
rödkindad sparv,emberiza fucata
rödspov,limosa limosa
rödstjärt,phoenicurus phoenicurus
rödstrupig piplärka,anthus cervinus
rödstrupig sångare,curruca cantillans
rödtrast,turdus 
rödvingad vadarsvala,glareola pratincola
rödvingetrast,turdus iliacus
rördrom,botaurus stellaris
rörhöna,gallinula chloropus
rörsångare,acrocephalus scirpaceus
salskrake,mergellus albellus
sammetshätta,curruca melanocephala
sandlöpare,calidris alba
sandsnäppa,calidris pusilla
sandtärna,gelochelidon nilotica
saxaulsångare,iduna rama
scopolilira,calonectris diomedea
sibirisk gråsnäppa,tringa brevipes
sibirisk järnsparv,prunella montanella
sibirisk knölsvärta,melanitta stejnegeri
sibirisk lundsångare,phylloscopus plumbeitarsus
sibirisk piplärka,anthus hodgsoni
sibirisk trast,geokichla sibirica
sibirisk tundrapipare,pluvialis fulva
sidensvans,bombycilla garrulus
silkeshäger,egretta garzetta
sillgrissla,uria aalge
silltrut,larus fuscus
silvertärna,sterna paradisaea
sjöorre,melanitta nigra
skata,pica pica
skatgök,clamator glandarius
skedand,spatula clypeata
skedstork,platalea leucorodia
skogsduva,columba oenas
skogssnäppa,tringa ochropus
skorstenseglare,chaetura pelagica
skrattmås,chroicocephalus ridibundus
skräntärna,hydroprogne caspia
skäggdopping,podiceps cristatus
skäggmes,panurus biarmicus
skäggtärna,chlidonias hybridus
skärfläcka,recurvirostra avosetta
skärpiplärka,anthus petrosus
skärsnäppa,calidris maritima
slaguggla,strix uralensis
smalnäbbad simsnäppa,phalaropus lobatus
smutsgam,neophron percnopterus
smådopping,tachybaptus ruficollis
småfläckig sumphöna,porzana porzana
smålom,gavia stellata
småskrake,mergus serrator
småsnäppa,calidris minuta
småspov,numenius phaeopus
småtrapp,tetrax tetrax
småtärna,sternula albifrons
snatterand,mareca strepera
snösparv,plectrophenax nivalis
sommargylling,oriolus oriolus
sothöna,fulica atra
sottärna,onychoprion fuscatus
sotvingad mås,leucophaeus atricilla
spansk sparv,passer hispaniolensis
sparvhök,accipiter nisus
sparvuggla,glaucidium passerinum
spetsbergsgrissla,uria lomvia
spetsbergsgås,anser brachyrhynchus
spetsstjärtad duva,zenaida macroura
spetsstjärtad snäppa,calidris acuminata
spillkråka,dryocopus martius
spovsnäppa,calidris ferruginea
stare,sturnus vulgaris
starrsångare,helopsaltes certhiola
steglits,carduelis carduelis
stenfalk,falco columbarius
stenknäck,coccothraustes coccothraustes
stenpiplärka,anthus japonicus
stenskvätta,oenanthe oenanthe
stensvala,petrochelidon pyrrhonota
stentrast,monticola saxatilis
stillahavslom,gavia pacifica
stjärtand,anas acuta
stjärtmes,aegithalos caudatus
storlabb,stercorarius skua
storlom,gavia arctica
stormfågel,fulmarus glacialis
stormsvala,hydrobates pelagicus
storskarv,phalacrocorax carbo
storskrake,mergus merganser
storspov,numenius arquata
stortrapp,otis tarda
strandskata,haematopus ostralegus
stripgås,anser indicus
strömand,histrionicus histrionicus
strömstare,cinclus cinclus
stubbstjärtseglare,apus affinis
styltlöpare,himantopus himantopus
styltsnäppa,calidris himantopus
stäppflyghöna,syrrhaptes paradoxus
stäpphök,circus macrourus
stäppsångare,iduna caligata
stäppvipa,vanellus gregarius
stäppörn,aquila nipalensis
större beckasinsnäppa,limnodromus scolopaceus
större gulbena,tringa melanoleuca
större hackspett,dendrocopos major
större korsnäbb,loxia pytyopsittacus
större lira,ardenna gravis
större piplärka,anthus richardi
större skrikörn,clanga clanga
större strandpipare,charadrius hiaticula
större turturduva,streptopelia orientalis
sumpvipa,vanellus leucurus
svart buskskvätta,saxicola caprata
svart rödstjärt,phoenicurus ochruros
svart stork,ciconia nigra
svartand,anas rubripes
svartbent strandpipare,anarhynchus alexandrinus
svartbrynad albatross,thalassarche melanophris
svarthakad buskskvätta,saxicola torquatus
svarthakedopping,podiceps auritus
svarthalsad dopping,podiceps nigricollis
svarthalsad trast,turdus atrogularis
svarthuvad mås,ichthyaetus melanocephalus
svarthuvad sparv,emberiza melanocephala
svarthuvad trut,ichthyaetus ichthyaetus
svarthätta,sylvia atricapilla
svartkråka,corvus corone
svartlärka,melanocorypha yeltoniensis
svartmes,periparus ater
svartnäbbad islom,gavia immer
svartpannad törnskata,lanius minor
svartsnäppa,tringa erythropus
svartstrupig järnsparv,prunella atrogularis
svarttärna,chlidonias niger
svartvingad glada,elanus caeruleus
svartvingad vadarsvala,glareola nordmanni
svartvit flugsnappare,ficedula hypoleuca
svärta,melanitta fusca
sydnäktergal,luscinia megarhynchos
sånglärka,alauda arvensis
sångsparv,melospiza melodia
sångsvan,cygnus cygnus
sädesärla,motacilla alba
sädgås,anser fabalis
sävsparv,emberiza schoeniclus
sävsångare,acrocephalus schoenobaenus
taggstjärtseglare,hirundapus caudacutus
tajgablåstjärt,tarsiger cyanurus
tajgaflugsnappare,ficedula albicilla
tajgasångare,phylloscopus inornatus
talgoxe,parus major
tallbit,pinicola enucleator
tallsparv,emberiza leucocephalos
talltita,poecile montanus
taltrast,turdus philomelos
tereksnäppa,xenus cinereus
tibetpipare,anarhynchus atrifrons
tjockfot,burhinus oedicnemus
tjäder,tetrao urogallus
tobisgrissla,cepphus grylle
tofslunne,fratercula cirrhata
tofslärka,galerida cristata
tofsmes,lophophanes cristatus
tofsvipa,vanellus vanellus
toppskarv,gulosus aristotelis
tordmule,alca torda
tornfalk,falco tinnunculus
tornseglare,apus apus
tornuggla,tyto alba
trana,grus grus
trastsångare,acrocephalus arundinaceus
tretåig hackspett,picoides tridactylus
tretåig mås,rissa tridactyla
trädgårdssångare,sylvia borin
trädgårdsträdkrypare,certhia brachydactyla
trädkrypare,certhia familiaris
trädlärka,lullula arborea
trädmås,chroicocephalus philadelphia
trädpiplärka,anthus trivialis
träsksångare,locustella lanceolata
tundrapiplärka,anthus gustavi
tundrasnäppa,calidris mauri
tundrasparv,spizelloides arborea
turkduva,streptopelia decaocto
turkestanlärka,alaudala heinei
turkestantörnskata,lanius phoenicuroides
turturduva,streptopelia turtur
tuvsnäppa,calidris melanotos
tygeltärna,onychoprion anaethetus
tärnmås,xema sabini
törnskata,lanius collurio
törnsångare,curruca communis
vaktel,coturnix coturnix
vandringstrast,turdus migratorius
varfågel,lanius excubitor
vassångare,locustella luscinioides
vattenpiplärka,anthus spinoletta
vattenrall,rallus aquaticus
vattensångare,acrocephalus paludicola
videsparv,emberiza rustica
videsångare,phylloscopus schwarzi
vigg,aythya fuligula
vinterhämpling,linaria flavirostris
vit stork,ciconia ciconia
vitgumpad buskskvätta, saxicola maurus
vitgumpseglare,apus caffer
vitgumpsnäppa,calidris fuscicollis
vitkindad gås,branta leucopsis
vitnackad svärta,melanitta perspicillata
vitnäbbad islom,gavia adamsii
vitryggig hackspett,dendrocopos leucotos
vitstrupig näktergal,irania gutturalis
vitstrupig sparv,zonotrichia albicollis
vittrut,larus hyperboreus
vitvingad lärka,alauda leucoptera
vitvingad trut,larus glaucoides
vitvingad tärna,chlidonias leucopterus
vitögd dykand,aythya nyroca
västlig medelhavsstenskvätta,oenanthe hispanica
wilsonbeckasin,gallinago delicata
wilsonsimsnäppa,phalaropus tricolor
årta,spatula querquedula
ägretthäger,egretta alba
ängshök,circus pygargus
ängspiplärka,anthus pratensis
ärtsångare,curruca curruca
ökenlöpare,cursorius cursor
ökennattskärra,caprimulgus aegyptius
ökenpipare,anarhynchus leschenaultii
ökenstenskvätta,oenanthe deserti
ökensångare,curruca nana
ökentrumpetare,bucanetes githagineus
ökenvarfågel,lanius elegans
örnvråk,buteo rufinus
östlig kronsångare,phylloscopus coronatus
östlig medelhavsstenskvätta,oenanthe melanoleuca
